LOC,Species,trail.location,point_name,lat,long,lat_long,notes
CHE,Phacelia hubbyi,,CHE20-061813Z,34.153997,-118.731742,"(34.153997, -118.731742)",
CHE,Phaceliea viscida,,CHE20-061812Z,34.153997,-118.731742,"(34.153997, -118.731742)",
CHE,Phostoma auritum,,CHE20-061811Z,34.153997,-118.731742,"(34.153997, -118.731742)",
CHE,Plantago erecta,,CHE20-061814Z,34.15536,-118.731416,"(34.15536, -118.731416)",
CHE,Pseudognaphalium sp.,Palo Comado,CHE20-061846Z,34.20741,-118.76833,"(34.20741, -118.76833)",
CHE,Quercus agrifolia,Chesboro Canyon,CHE20-061834Z,34.1879,-118.72524,"(34.1879, -118.72524)",
CHE,Rubus ursinus,Chesboro Canyon,CHE20-061835Z,34.1879,-118.72524,"(34.1879, -118.72524)",
CHE,Salvia leucophylla,Chesboro Canyon,CHE20-06180Z,,,,roc/ imelda by Y.....upper las virgenes
CHE,Salvia mellifera,Upper Chesboro,CHE20-061841Z,34.19661,-118.73167,"(34.19661, -118.73167)",
CHE,Sambucus nigra,Chesboro Canyon,CHE20-061829Z,34.18386,-118.72839,"(34.18386, -118.72839)",
CHE,Solanum xanti,Palo Comado,CHE20-061847Z,34.20741,-118.76833,"(34.20741, -118.76833)",
CHE,Stipa lepida,Chesboro Canyon,CHE20-061839Z,34.19358,-118.73021,"(34.19358, -118.73021)",
CIR,Acmispon glaber,Encinal Canyon,CIR20-06181Z,34.08233,-118.87132,"(34.08233, -118.87132)",
CIR,Calochortus catalinae,Arroyo Sequit,CIR20-061810Z,34.08434,-118.88898,"(34.08434, -118.88898)",
CIR,Deinandra fasciculata,Arroyo Sequit,CIR20-061813Z,34.08434,-118.88898,"(34.08434, -118.88898)",
CIR,Diplacus longiflorus,Encinal Canyon,CIR20-06185Z,34.08233,-118.87132,"(34.08233, -118.87132)",
CIR,Ehrendorferia ochroleuca,Grotto Trail,CIR20-061818Z,34.10527,-118.93741,"(34.10527, -118.93741)",
CIR,Elymus condensatus,Encinal Canyon,CIR20-06184Z,34.08233,-118.87132,"(34.08233, -118.87132)",
CIR,Eriophyllum confertiflorum,Arroyo Sequit,CIR20-061814Z,34.08545,-118.88864,"(34.08545, -118.88864)",
CIR,Eschscholzia californica,Grotto Trail,CIR20-061815Z,34.10373,-118.93488,"(34.10373, -118.93488)",
CIR,Helianthus gracilentus,Arroyo Sequit,CIR20-06187Z,34.08432,-118.88834,"(34.08432, -118.88834)",
CIR,Isocoma menziesii,Arroyo Sequit,CIR20-061811Z,34.08434,-118.88898,"(34.08434, -118.88898)",
CIR,Keckiella cordifolia,Backbone Trail,CIR20-061819Z,34.10712,-118.90837,"(34.10712, -118.90837)",
CIR,Lasthenia californica,Along Grotto trail,CIR20-06180Z,,,,
CIR,Malacothamnus fasciculsatus,Grotto Trail,CIR20-06180Z,,,,
CIR,Malacothrix saxatilis,Grotto Trail,CIR20-06180Z,,,,
CIR,Malosma laurina,Arroyo Sequit,CIR20-061812Z,34.08434,-118.88898,"(34.08434, -118.88898)",
CIR,Phacelia grandiflora,,CIR20-06180Z,,,,
CIR,Phacelia perryi,Encinal Canyon,CIR20-06182Z,34.08233,-118.87132,"(34.08233, -118.87132)",
CIR,Pseudognaphalium sp.,Encinal Canyon,CIR20-06186Z,34.08233,-118.87132,"(34.08233, -118.87132)",
CIR,Ribes malvaceum,Encinal Canyon,CIR20-06183Z,34.08233,-118.87132,"(34.08233, -118.87132)",
CIR,Rubus ursinus,Grotto Trail,CIR20-061816Z,34.10375,-118.9306,"(34.10375, -118.9306)",
CIR,Salvia mellifera,Arroyo Sequit,CIR20-06188Z,34.08434,-118.88898,"(34.08434, -118.88898)",
CIR,Solanum xantii,Arroyo Sequit,CIR20-06189Z,34.08434,-118.88898,"(34.08434, -118.88898)",
CIR,Stipa pulchra,Grotto Trail,CIR20-061817Z,34.1045185,-118.9331724,"(34.1045185, -118.9331724)",
PAR,Acmispon glaber,Hennesy,PAR20-06181Z,34.101337,-118.787235,"(34.101337, -118.787235)",
PAR,Amsinckia intermedia,Coyote Trail,PAR20-061833Z,34.1146,-118.75954,"(34.1146, -118.75954)",
PAR,Artemisia californica,Medea Creek Trail,PAR20-061826Z,34.11437,-118.75527,"(34.11437, -118.75527)",
PAR,Artemisia douglasiana,Medea Creek Trail,PAR20-061845Z,34.118359,-118.75591,"(34.118359, -118.75591)",
PAR,Asclepias fascicularis,Resto Site,PAR20-061851Z,34.12104,-118.075393,"(34.12104, -118.075393)",
PAR,Baccharis salicifolia,Medea Creek Trail,PAR20-061823Z,34.11421,-118.75546,"(34.11421, -118.75546)",
PAR,Calanthus lasiophyllus,Coyote Trail,PAR20-061827Z,34.11456,-118.75918,"(34.11456, -118.75918)",
PAR,Calanthus lasiophyllus,Coyote Trail,PAR20-061836Z,34.11543,-118.75965,"(34.11543, -118.75965)",
PAR,Castilleja exerta,Coyote Trail,PAR20-061828Z,34.11456,-118.75918,"(34.11456, -118.75918)",
PAR,Castilleja exerta,Coyote Trail,PAR20-061839Z,34.11584,-118.75924,"(34.11584, -118.75924)",
PAR,Clarkia species,Hennesy,PAR20-06184Z,34.101337,-118.787235,"(34.101337, -118.787235)",
PAR,Claytonia perfolita,Coyote Trail,PAR20-061837Z,34.11543,-118.75965,"(34.11543, -118.75965)",
PAR,Deinandra fasciculata,Medea Creek Trail,PAR20-061815Z,34.11291,-118.7534,"(34.11291, -118.7534)",
PAR,Dendromecon rigida,Paramount,PAR20-061849Z,34.11978,-118.76514,"(34.11978, -118.76514)",
PAR,Diplacus longiflorus,Hennesy,PAR20-06182Z,34.101337,-118.787235,"(34.101337, -118.787235)",
PAR,Diplostema capitatum,Coyote Trail,PAR20-061840Z,34.11611,-118.75938,"(34.11611, -118.75938)",
PAR,Ehrendorferia ochroleuca,Coyote Trail,PAR20-061830Z,34.1146,-118.75954,"(34.1146, -118.75954)",
PAR,Elymus condensatus,Paramount,PAR20-061861Z,34.15316,-118.73315,"(34.15316, -118.73315)",
PAR,Elymus sp,Resto Site,PAR20-061852Z,34.12104,-118.75393,"(34.12104, -118.75393)",
PAR,Elymus triticoides,Paramount N,PAR20-061857Z,34.12383,-118.7504,"(34.12383, -118.7504)",
PAR,Emminanthe penduliflora,Coyote Trail,PAR20-061829Z,34.11456,-118.75918,"(34.11456, -118.75918)",
PAR,Epilobium canum,Coyote Trail,PAR20-061824Z,34.11433,-118.75882,"(34.11433, -118.75882)",
PAR,Epilobium canum,Paramount N,PAR20-061856Z,34.12185,-118.75639,"(34.12185, -118.75639)",
PAR,Eriogonum elongatum,Medicine Woman Loop,PAR20-061850Z,34.12067,-118.7589,"(34.12067, -118.7589)",
PAR,Eriogonum fasciculatum,Medea Creek Trail,PAR20-061819Z,34.11324,-118.75468,"(34.11324, -118.75468)",
PAR,Eriophyllum confertiflorum,Hennesy,PAR20-06185Z,34.101337,-118.787235,"(34.101337, -118.787235)",
PAR,Fritillaria biflora,Coyote Trail,PAR20-061835Z,34.11531,-118.7596,"(34.11531, -118.7596)",
PAR,Grindelia camporum,Medea Creek Trail,PAR20-061825Z,34.11437,-118.75527,"(34.11437, -118.75527)",
PAR,Grindelia camporum,Medea Creek Trail,PAR20-061844Z,34.118359,-118.75591,"(34.118359, -118.75591)",
PAR,Hazardia squarrosa var grindelioides,Paramount,PAR20-061859Z,34.15316,-118.73315,"(34.15316, -118.73315)",
PAR,Isocoma menziesii,Hennesy,PAR20-06189Z,34.101337,-118.787235,"(34.101337, -118.787235)",
PAR,Juglans californica,Paramount Westerntown,PAR20-061838Z,34.11545,-118.75584,"(34.11545, -118.75584)",
PAR,Lasthenia californica,Entrance Rd,PAR20-061841Z,34.11639,-118.7547,"(34.11639, -118.7547)",
PAR,Lasthinia gracilis,Mulholland Connector,PAR20-061810Z,34.1125,-118.75722,"(34.1125, -118.75722)",
PAR,Lessingia/Corethrogyne filaginifolia,Paramount N,PAR20-061858Z,34.12383,-118.7504,"(34.12383, -118.7504)",
PAR,Lonicera subspicata,Paramount,PAR20-061860Z,34.15316,-118.73315,"(34.15316, -118.73315)",
PAR,Lupinus bicolor,Coyote Trail,PAR20-061843Z,34.11799,-118.75816,"(34.11799, -118.75816)",
PAR,Malacothamnus fasciculatus,Medea Creek Trail,PAR20-061820Z,34.11348,-118.75305,"(34.11348, -118.75305)",
PAR,Malacothrix saxatilis,Hennesy,PAR20-06187Z,34.101337,-118.787235,"(34.101337, -118.787235)",
PAR,Melica imperfecta,Mulholland Connector,PAR20-061811Z,34.1125,-118.75722,"(34.1125, -118.75722)",
PAR,Papaver heterophyllum,Paramount,PAR20-061848Z,34.11978,-118.76514,"(34.11978, -118.76514)",
PAR,Phacelia cicutaria,Coyote Trail,PAR20-061834Z,34.11486,-118.75832,"(34.11486, -118.75832)",
PAR,Phacelia grandiflora,Overlook Trail,PAR20-061842Z,34.11739,-118.76665,"(34.11739, -118.76665)",
PAR,Phacelia parryi,Parmount,PAR20-061847Z,34.11978,-118.76374,"(34.11978, -118.76374)",
PAR,Phacleia cicutera,Hennesy,PAR20-06188Z,34.101337,-118.787235,"(34.101337, -118.787235)",
PAR,Plagiothrys nothofulbus,Coyote Trail,PAR20-061832Z,34.1146,-118.75954,"(34.1146, -118.75954)",
PAR,Pseudognaphalium sp.,Hennesy,PAR20-06183Z,34.101337,-118.787235,"(34.101337, -118.787235)",
PAR,Quercus agrifolia,Paramount,PAR20-06180Z,,,,
PAR,Quercus berberidifolia,Medea Creek Trail,PAR20-061821Z,34.11348,-118.75305,"(34.11348, -118.75305)",
PAR,Quercus lobata,Medicine Woman Loop,PAR20-061846Z,34.11943,-118.75544,"(34.11943, -118.75544)",
PAR,Rhamnus californica,Mulholland Connector,PAR20-061822Z,34.11385,-118.75658,"(34.11385, -118.75658)",
PAR,Ribes aureum,Medea Creek Trail,PAR20-061813Z,34.11265,-118.75641,"(34.11265, -118.75641)",
PAR,Ribes aureum,Medea Creek Trail,PAR20-061817Z,34.11324,-118.75468,"(34.11324, -118.75468)",
PAR,Rosa californica,Medea Creek Trail,PAR20-061816Z,34.11324,-118.75468,"(34.11324, -118.75468)",
PAR,Rubus ursinus,Mulholland Connector,PAR20-061814Z,34.11282,-118.75679,"(34.11282, -118.75679)",
PAR,Salix lasiolepis,Along creek,PAR20-06180Z,,,,
PAR,Salvia apiana,Medicine Woman Loop,PAR20-061855Z,34.12156,-118.75818,"(34.12156, -118.75818)",
PAR,Salvia columbariae,Medicine Woman Loop,PAR20-061854Z,34.12156,-118.75818,"(34.12156, -118.75818)",
PAR,Sambucus nigra,Medea Creek Trail,PAR20-061818Z,34.11324,-118.75468,"(34.11324, -118.75468)",
PAR,Solanum xanti,Hennesy,PAR20-06186Z,34.101337,-118.787235,"(34.101337, -118.787235)",
PAR,Staqchys sp,Resto Site,PAR20-061853Z,34.12104,-118.75393,"(34.12104, -118.75393)",
PAR,Stipa pulchra,Mulholland Connector,PAR20-061812Z,34.1125,-118.75722,"(34.1125, -118.75722)",
PAR,Thysanocarpus curvipes,Coyote Trail,PAR20-061831Z,34.1146,-118.75954,"(34.1146, -118.75954)",
ROO,Deinandra fasciculata,,ROO20-06182Z,34.10238,-118.965,"(34.10238, -118.965)",
ROO,Diplacus longiflorus,,ROO20-06184Z,34.1035,-118.8169,"(34.1035, -118.8169)",
ROO,Ehrendorferia ochroleuca,,ROO20-06185Z,34.1043,-118.8168,"(34.1043, -118.8168)",
ROO,Phacelia grandiflora,,ROO20-06181Z,34.1015,-118.8133,"(34.1015, -118.8133)",
ROO,Stipa pulchra,,ROO20-06183Z,34.1025,-118.8123,"(34.1025, -118.8123)",
RSV,Acmispon glaber,Wendy Trail,RSV20-06187Z,34.1476,-118.9524,"(34.1476, -118.9524)",
RSV,Amsinckia intermedia,Wendy Trail,RSV20-061810Z,34.152758,-118.952583,"(34.152758, -118.952583)",
RSV,Anemopsis californica,,RSV20-061814Z,34.1542,-118.9703,"(34.1542, -118.9703)",
RSV,Artemisia california,Wendy Trail,RSV20-06180Z,,,,Mari has coordinates
RSV,Baccharis salicifolia,,RSV20-061811Z,34.15283,-118.96861,"(34.15283, -118.96861)",
RSV,Chlorogalum pomeridianum,Wendy Tail,RSV20-06180Z,,,,Mari has coordinates
RSV,Elymus condensatus,Wendy Tail,RSV20-06180Z,,,,Mari has coordinates
RSV,Encelia californica,Big Sycamore Road,RSV20-06181Z,34.114,-118.966,"(34.114, -118.966)",
RSV,Encelia californica,Big Sycamore Road,RSV20-06184Z,34.144,-118.965,"(34.144, -118.965)",
RSV,Encelia californica,Big Sycamore Road,RSV20-06188Z,34.148,-118.964,"(34.148, -118.964)",
RSV,Epilobium canum,,RSV20-061812Z,34.154,-118.9699,"(34.154, -118.9699)",
RSV,Eriogonum cinereum,Big Sycamore Road,RSV20-06185Z,34.145,-118.967,"(34.145, -118.967)",
RSV,Eriogonum elongatum,Wendy Tail,RSV20-06180Z,,,,Mari has coordinates
RSV,Eriophyllum confertiflorum,Wendy Trail,RSV20-06186Z,34.1455,-118.9495,"(34.1455, -118.9495)",
RSV,Eschscholzia californica,,RSV20-061815Z,34.15667,-118.9697,"(34.15667, -118.9697)",
RSV,Isocoma menziesii,Wendy Tail,RSV20-06180Z,,,,Mari has coordinates
RSV,Malacothamnus fasciculsatus,Wendy Tail,RSV20-06180Z,,,,Mari has coordinates
RSV,Malacothrix saxatilis,Wendy Tail,RSV20-06180Z,,,,Mari has coordinates
RSV,Malosma laurina,Wendy Trail,RSV20-06180Z,,,,Mari has coordinates
RSV,Salix lasiolepis,Overflow parking,RSV20-061813Z,34.1541,-118.97071,"(34.1541, -118.97071)",
RSV,Salvia leucophylla,Wendy Tail,RSV20-06180Z,,,,Mari has coordinates
RSV,Solanum xantii,Wendy Trail,RSV20-06189Z,34.152758,-118.952583,"(34.152758, -118.952583)",
RSV,Stipa pulchra,Hidden Pond Trail,RSV20-06182Z,34.135,-118.986,"(34.135, -118.986)",
RSV,Stipa pulchra,Hidden Pond Trail,RSV20-06183Z,34.136,-118.987,"(34.136, -118.987)",
ZUM,Acmispon glaber,Bonsall TH,ZUM20-06181Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Artemisia douglasiana,Bonsall TH,ZUM20-061815Z,34.03329,-118.81213,"(34.03329, -118.81213)",
ZUM,Astragalus brauntonii,Bonsall TH,ZUM20-061814Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Astragalus brauntonii,Zuma Ridge Motorway,ZUM20-061835Z,34.0357,-118.82079,"(34.0357, -118.82079)",
ZUM,Astragalus trichopodus,Zuma Ridge Motorway,ZUM20-061818Z,34.03548,-118.81944,"(34.03548, -118.81944)",
ZUM,Diplacus longiflorus,Kanan Dume,ZUM20-061830Z,34.0603,-118.80408,"(34.0603, -118.80408)",
ZUM,Elymus condensatus,Bonsall TH,ZUM20-06182Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Encelia californica,Bonsall TH,ZUM20-06183Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Ericameria palmeri,Zuma Ridge Motorway,ZUM20-061819Z,34.03548,-118.81944,"(34.03548, -118.81944)",
ZUM,Eriogonum cinereum,Bonsall TH,ZUM20-06184Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Eschscholzia caespitosa,Zuma Edison Rd,ZUM20-061826Z,34.05038,-118.80621,"(34.05038, -118.80621)",
ZUM,Eschscholzia californica,Zuma Edison Rd,ZUM20-061825Z,34.05038,-118.80621,"(34.05038, -118.80621)",
ZUM,Eschscholzia californica,Zuma Edison Rd,ZUM20-061829Z,34.05914,-118.80598,"(34.05914, -118.80598)",
ZUM,Helianthemum scoparium,Zuma Ridge Motorway,ZUM20-061822Z,34.03842,-118.82019,"(34.03842, -118.82019)",
ZUM,Heteromeles arbutifolia,Newton Canyon,ZUM20-061833Z,34.07605,-118.81555,"(34.07605, -118.81555)",
ZUM,Isocoma menziesii,Zuma Ridge Motorway,ZUM20-061820Z,34.03548,-118.81944,"(34.03548, -118.81944)",
ZUM,Juglans californica,Bonsall TH,ZUM20-061813Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Juglans californica,Zuma Edison Rd,ZUM20-061836Z,34.11437,-118.75527,"(34.11437, -118.75527)",
ZUM,Keckiella cordifolia,Zuma Edison Rd,ZUM20-061832Z,34.0603,-118.80408,"(34.0603, -118.80408)",
ZUM,Lepidospartum squamatum,Bonsall TH,ZUM20-061823Z,34.03952,-118.81383,"(34.03952, -118.81383)",
ZUM,Malacothamnus fasciculatus,Bonsall TH,ZUM20-06185Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Malacothrix saxatilis,Bonsall TH,ZUM20-06186Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Malosma laurina,Bonsall TH,ZUM20-061811Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Marah macrocarpa,Bonsall TH,ZUM20-061812Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Melica imperfecta,Zuma Edison Rd,ZUM20-061828Z,34.05851,-118.80824,"(34.05851, -118.80824)",
ZUM,Pseudognaphalium sp.,Bonsall TH,ZUM20-061816Z,34.03329,-118.81213,"(34.03329, -118.81213)",
ZUM,Ribes speciosum,Bonsall TH,ZUM20-061821Z,34.03663,-118.81307,"(34.03663, -118.81307)",
ZUM,Salvia leucophylla,Bonsall TH,ZUM20-06187Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Salvia mellifera,Bonsall TH,ZUM20-06188Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Salvia spathacea,Kanan Dume,ZUM20-061831Z,34.0603,-118.80408,"(34.0603, -118.80408)",
ZUM,Sambucus nigra,Bonsall TH,ZUM20-06189Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Solanum douglasii,Bonsall TH,ZUM20-061817Z,34.03476,-118.81218,"(34.03476, -118.81218)",
ZUM,Solanum xantii,Bonsall TH,ZUM20-061810Z,34.03143,-118.81335,"(34.03143, -118.81335)",
ZUM,Stipa pulchra,Zuma Edison Rd,ZUM20-061827Z,34.05347,-118.80699,"(34.05347, -118.80699)",
ZUM,Umbellularia californica,Newton Canyon,ZUM20-061834Z,34.07605,-118.81555,"(34.07605, -118.81555)",
ZUM,Venegasia carpesioides,Bonsall TH,ZUM20-061824Z,34.03952,-118.81383,"(34.03952, -118.81383)",
